data_id;University Name;Meta Data;URL;Author;title;Abstract;Academic Level;Published Year;Keywords;Cite;;;;
grant_1;National Science Foundation;;;;EAGER: Exploration of Apatite Room Temperature Superconductor Phase Space;"Non-Technical Summary



Superconductivity is a material’s ability to conduct electricity without energy loss. Only a few materials with above room temperature superconductivity have been reported, most recently in the summer of 2023. While above room temperature superconductivity is an exciting prospect, reproducing such results is challenging. With this high-risk/high-reward EAGER award, supported by the Solid State and Materials Chemistry program in NSF’s Division of Materials Research, the principal investigator aims to systematically study the Pb-Cu-P-Si-O-S phase space, from which the most recently reported superconducting material originated. Examining the reported synthesis procedure and establishing a protocol to strategically analyze all phases of the product materials in terms of presence or absence of superconductivity creates a general blueprint for how to investigate materials systems for superconducting properties. The principal investigator engages undergraduate students in the project, which gives them the opportunity to participate in cutting-edge science that has made headlines in recent months. If an above room temperature superconductor is found, it would enable economic benefits by using such materials in the infrastructure modernization, from 1) high power transmission lines to take advantage of renewable power generation in geographically remote regions, to 2) strong permanent magnets that would remove the need for large, rare-earth-based magnets in wind turbines, and to 3) to eliminating the need for liquid helium cooling in MRI machines.





Technical Summary



A modified lead-apatite phase, ~Pb10-xCux(PO4)6O, created via the reaction between Cu3P and Pb2SO5, has been reported to exhibit above room temperature superconductivity. While the reported synthetic approach is unusual, it has sparked discussions whether phases with room temperature superconducting properties can be found within the complex elemental phase space, Pb-Cu-P-Si-O-S. With this high-risk/high-reward EAGER award, supported by the Solid State and Materials Chemistry program in NSF’s Division of Materials Research, the principal investigator studies this copper doped lead apatite system, where, in addition to the copper occupying some of the Pb sites, it is necessary to consider both S occupying the oxygen site in the channels as well as the potential that some Si might have substituted for P in the PO4 groups. Isolating the original composition and determining the structure of the superconducting phase is a starting point to establish its reproducible synthesis. More generally, the development of a strategic approach to synthesize and characterize superconducting phases can support the creation of a predictive theory of superconductivity.



This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.";grant;2023;;;;;;
grant_2;Japan Society for the Promotion of Science;;;;Preparation of Prototype THz Device and Synthesis of Nanostrucured Excitonic Room Temperature Superconductor;Little and Ginzburg propose low dimensional transport systems by excitons as a model of a room temperature superconductivity. In the models, the candidate of conductive layer (the main chain) for the 2-dimensional system is a metal. Since the shielding length of the exciton in metals may be in the order of nm, the metal layer must be ultrathin and continuous. The dielectric layer (the side chain) must have enough high energy and interactions with electrons.We have studied the electrical conduction properties of the self-assembly monolayer of the C_<60>-O-C_8SH derivatives (C_<60>-SAM) (as dielectric layer) on Au ultrathin films (as conductive layer) as the model materials for an excitonic superconductor. When using the metal mask, electrodes were made by RF magnetron sputtering, sputtered Au atoms passed around behind the holes of the mask. After removing the mask Au ultrathin films were deposited by RF magnetron sputtering. The specimen was soaked in a 0.01mM benzene solution of C_<60> derivatives for 20 h at room temperature. The resistance decreased linearly from room temperature to 125K, and the gradient became steep lower than 125K. The unusual conductive behavior was observed only in the specimen which has an electrode distance less than 10 μm.We concluded that the above anomalous transport properties may be caused by the influence of excitonic interactions between free electrons in the metal and electric dipoles excited in the molecules.;grant;;;;;;;
grant_3;U.S. Department of Energy;;;;"METALLIC HYDROGEN: REFLECTANCE, METASTABILITY, AND SUPERCONDUCTIVITY
MOLECULAR HYDROGEN WILL BE COMPRESSED TO ULTRA-HIGH PRESSURES IN A DIAMOND ANVIL CELL (DAC). WHEN IT TRANSITIONS TO WHMH IT WILL BE ILLUMINATED WITH LIGHT IN THE VISIBLE AND IR AND THE REFLECTANCE WILL BE DETERMINED USING A SENSITIVE CAMERA. METASTABILITY IS TESTED BY OBSERVING A LOW TEMPERATURE SAMPLE OF WHMH; FIRST THE PRESSURE IS LIFTED AND IF METASTABLE, THEN THE TEMPERATURE IS RAISED UNTIL IT CONVERTS TO THE MOLECULAR FORM. SUPERCONDUCTIVITY WILL BE STUDIED BY OBSERVING THE REFLECTANCE AS A FUNCTION OF TEMPERATURE, EITHER AT A WAVELENGTH CORRESPONDING TO THE GAP ENERGY OR BY TEMPERATURE DEPENDENCE OF REFLECTANCE AT A FIXED WAVELENGTH IN THE INFRARED. THE MEISSNER EFFECT WILL BE STUDIED BY WARMING THE SAMPLE TO TEMPERATURES NEAR TC AND QUENCHING THE SC WITH A HIGH MAGNETIC FIELD. THE GROUND STATE STRUCTURE WILL BE DETERMINED BY XRAY DIFFRACTION AT A SYNCHROTRON FACILITY. FINALLY, WE SHALL STUDY THE POSSIBILITY OF LOWERING THE TRANSITION PRESSURE OF WHMC BY INJECTING ELECTRONS INTO SOLID MOLECULAR HYDROGEN AND COMPRESSING WITH PRESSURE. THE PRODUCTION AND UNDERSTANDING OF THE PROPERTIES OF WHMH WILL HAVE AN ENORMOUS IMPACT ON FUNDAMENTAL, AND PERHAPS APPLIED PHYSICS AS A POSSIBLE METASTABLE ROOM TEMPERATURE SUPERCONDUCTOR; IT WILL ALSO IMPACT THEORETICAL PHYSICS THAT WILL THEN HAVE A TARGET FOR THE RESULTS OF CALCULATIONS.";"METALLIC HYDROGEN: REFLECTANCE, METASTABILITY, AND SUPERCONDUCTIVITY
MOLECULAR HYDROGEN WILL BE COMPRESSED TO ULTRA-HIGH PRESSURES IN A DIAMOND ANVIL CELL (DAC). WHEN IT TRANSITIONS TO WHMH IT WILL BE ILLUMINATED WITH LIGHT IN THE VISIBLE AND IR AND THE REFLECTANCE WILL BE DETERMINED USING A SENSITIVE CAMERA. METASTABILITY IS TESTED BY OBSERVING A LOW TEMPERATURE SAMPLE OF WHMH; FIRST THE PRESSURE IS LIFTED AND IF METASTABLE, THEN THE TEMPERATURE IS RAISED UNTIL IT CONVERTS TO THE MOLECULAR FORM. SUPERCONDUCTIVITY WILL BE STUDIED BY OBSERVING THE REFLECTANCE AS A FUNCTION OF TEMPERATURE, EITHER AT A WAVELENGTH CORRESPONDING TO THE GAP ENERGY OR BY TEMPERATURE DEPENDENCE OF REFLECTANCE AT A FIXED WAVELENGTH IN THE INFRARED. THE MEISSNER EFFECT WILL BE STUDIED BY WARMING THE SAMPLE TO TEMPERATURES NEAR TC AND QUENCHING THE SC WITH A HIGH MAGNETIC FIELD. THE GROUND STATE STRUCTURE WILL BE DETERMINED BY XRAY DIFFRACTION AT A SYNCHROTRON FACILITY. FINALLY, WE SHALL STUDY THE POSSIBILITY OF LOWERING THE TRANSITION PRESSURE OF WHMC BY INJECTING ELECTRONS INTO SOLID MOLECULAR HYDROGEN AND COMPRESSING WITH PRESSURE. THE PRODUCTION AND UNDERSTANDING OF THE PROPERTIES OF WHMH WILL HAVE AN ENORMOUS IMPACT ON FUNDAMENTAL, AND PERHAPS APPLIED PHYSICS AS A POSSIBLE METASTABLE ROOM TEMPERATURE SUPERCONDUCTOR; IT WILL ALSO IMPACT THEORETICAL PHYSICS THAT WILL THEN HAVE A TARGET FOR THE RESULTS OF CALCULATIONS.";grant;2022;;;;;;
grant_4;Japan Society for the Promotion of Science;;;;NMR study of heavy-fermion and iron-based supeconductors;In　this　research　project,　I　obtained　impotant NQR　experimental　results　in the field of the heavy-fermion　superconductivity. It is generally considered that spin fluctuation induces superconductivity in many heavy-fermion superconductos. However, I suggested that superconductivity is derived from some kind of fluctuations except for spin ones in heavy-fermion compound CeIrIn5. It is probable that the fluctuation related with the occurence of superconductivity in CeIrIn5 is electric rather than magnetic. Next, I added a magnetic interaction to CeIrIn5 by the Cd doping. The addition of a magnetic interaction leads to the increase in Tc, suggesting that the collaboration of two interactions (maybe spin and electric fluctuations) is able to enhance Tc. I belive that this important experimental result contributes to the realization of a room temperature superconductor.;grant;2012;;;;;;
grant_5;Japan Society for the Promotion of Science;;;;Newly Preparation of Chaotic Low Dimensional Conducting System by Polymer C60 Ultrathin films and Application to Super-functional Electronic Devices;The purpose of this work are the following:1) The synthesis of the novel 2-dimensional conducting system on the basis of the interaction between metals and π electrons by using the self-assembly monolayer formed on the Au ultrathin films.2) The investigation of the chaotic conducting system and the possibility of a room temperature superconductivity.As results of this work are the following:1) We have developed the new process to prepare the C60 derivative (C60-O-C8SH) self-assembly monolayer (C60-SAM) on Au ultrathin films/MgO(100)single crystal.2) By AFM observation we demonstrated that nano-scale Au ultrathin films were prepared along to the steps formed of the clear step and terrace structures were fabricated by optimization of the annealing conditions. The obtained samples, C60-SAM/Au/MgO were the materials system corresponding to the room temperature superconductor model proposed by Little and Ginzburg.3) In some of the obtained samples the resistivity anomaly was observed at about 200K, when the micro-scale electrodes were fabricated for the resistivity measurements.These obtained results revealed the possibility of the room temperature superconductivity which will be clarified by the refinement of the sample preparation process and/or the detailed measurements of the sample characterization.;grant;;;;;;;
grant_6;Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung;;;;Chemistry and Physics of Nitride Based Materials;Within the duration of this Ambizione grant period, we will investigate a class of compounds with great potential for exotic physical phenomena, and for future technological innovations. The major aim of this research is to improve the understanding of the relationships between chemical bonding and the electronic properties of solids. This research therefore targets the discovery and understanding of novel quantum materials that exhibit extraordinary physical properties. To this end, we synthesize new materials, grow high-quality single crystals, and perform complex measurements of fundamental physical properties. This combination of chemical synthesis and physical properties measurements is one of the great strengths in this line of research, because it allows for immediate feedback loops and henceforth fast improvements of the materials. The ultimate goal, of this line of research is the discovery of a room-temperature superconductor. Such a discovery would revolutionize energy production, storage, and transport. It would also have an unparalleled impact on electronics and future devices.;grant;2017;;;;;;
grant_7;National Science Foundation;;;;EAGER: Exploring the Role of Copper Sulfides in Room Temperature Superconductors;"Non-technical Summary



Materials make technological progress possible. For example, the battery materials inside laptops and smartphones enable the portability of these electronic devices by charging and recharging them. The magnetic materials in windmills allow them to harness the wind to generate the electricity that powers homes and businesses. It has long been a dream of scientists who study materials to discover one that would enable many technologies at once. Such a miracle material exists in the superconductor. It would enable applications in energy, human health, and computing technologies. In the last century, many such superconductors have been found, but they all have one major setback. These materials become superconductors only at extremely low temperatures. These temperatures are even lower than the coldest recorded temperature on Earth. Furthermore, the handful of materials that are superconducting near room temperature require pressures found only near the center of the planet. Therefore, the long-sought goal of scientists has been to find a material that is an effective superconductor near room temperature and at pressures on the surface of the Earth. This EAGER award, supported by the Solid State and Materials Chemistry program in NSF’s Division of Materials Research, will examine the role the byproducts consisting of copper and sulfur play in a sample reported to be such a miracle material in 2023. This endeavor includes the careful preparation of samples consisting of copper and sulfur and testing them under the most rigorous conditions to uncover the world’s first potential room-temperature superconductor. 



Technical Summary



This EAGER award, supported by the Solid State and Materials Chemistry program in NSF’s Division of Materials Research, will explore the role that copper sulfides plays in the potential room-temperature superconductor called LK-99 reported in 2023. The research team at the University of Maryland carries out solid state chemistry studies to isolate the copper sulfide minority phase contained in LK-99. Unlike in the LK-99 manuscripts, however, the working hypothesis here is that it is more likely that this minority phase, Cu2-xS, is the superconductor and not the majority phase, lead oxyapatite, which is a known wide-band gap insulator. This hypothesis was formed since Cu2S displays interesting high-temperature physics including a superionic phase transition, a crystallographic phase transition, and an insulator-to-metal transition. The latter is an electronic one driven by the hole-doping brought on by copper site vacancies, which is the x in Cu2-xS. Since these transitions also occur near 380 K, they would explain why the room-temperature superconductivity reported in LK-99 should be attributed to Cu2-xS. The approach here is to charge dope this phase by forming Cu2-xMxS phases where M is a metal with a different valence state from Cu+. This strategy is similar to suppressing phase transitions in the cuprates and iron-based superconductors, whereby electron or hole doping suppresses an antiferromagnetic phase transition, and a superconducting regime appears on the phase diagram.  In the case of Cu2S, the relevant driver is not magnetism as in the cuprates and iron pnictides, but rather ionic forces coupled to the electronic structure that could drive the unconventional behavior. This EAGER grant surveys phase pure samples of different forms of Cu2-xS and Cu2-xMxS to understand how their crystallographic, heat and electronic transport, and magnetic properties change as a function of x. The research activities use both polycrystalline and single crystal samples to establish whether this phase is indeed the key to understanding the room-temperature Meissner effect reported in LK-99.



This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.";grant;2023;;;;;;
grant_8;Deutsche Forschungsgemeinschaft;;;;Inducing Superconductivity by a Picosecond Pressure Transient in the QuasiTwoDimensional Organic Salt;Since the discovery of superconductivity almost 100 years ago, countless studies focused on the origin and driving mechanisms of this phenomenon. In particular the development of high-temperature (high-Tc) superconductors has reached much attention in the past, as the finding of a room-temperature superconductor would, for example, revolutionize electronic engineering. However, despite these efforts, the fundamental processes of unconventional superconductivity are still not understood.Prototype materials for high-Tc superconductivity are the quasi-two-dimensional organic compounds of the BEDT-TTF family. In particular, the κ-(BEDT-TTF)2Cu[N(CN)2]Cl exhibits a very rich phase diagram including a pressure-driven antiferromagnetic insulating-to-superconducting (AF-SC) phase transition below 13 K. So far, all studies of organic superconductors focused on the equilibrium properties of these materials, i.e. the system's response to slow adiabatic changes of the environment. In contrast, the proposed work aims at the investigation of the dynamic formation of the superconducting phase after excitation of a picosecond pressure transient (sound wave) using femtosecond laser pulses. Irradiation of a buffer layer deposited on top of the organic compound launches an acoustic pulse in the material. This pressure transient traverses through the sample at the speed of sound and is expected to induce the AF-SC phase transition. Using this approach, the generation of the superconducting phase could be observed directly in the time domain, and, furthermore, the direction-selective experiment may yield insight into the role of antiferromagnetic fluctuations for superconductivity.;grant;2008;;;;;;
grant_9;Engineering and Physical Sciences Research Council;;;;Quantum Magnetometry Facility;"The spin of a single electron is the smallest possible magnetic sensor, operating at the smallest limits of spatial resolution. Research by the quantum technology community in the past couple of decades has opened the capability to control and detect individual electronic spins, in particular the spin associated with the nitrogen-vacancy (NV) point defect in diamond. Integration of NV spins into diamond AFM tips has enabled scanning probe detection of magnetic fields with high sensitivity and spatial resolution of few tens of nanometers (10,000x smaller than the width of a human hair!), over a broad temperature range (from room temperature to the coldest temperatures in the universe - milliKelvin regime). In addition, NV centres in diamond have been used to detect and control individual electronic spins (for example spin-labelled biological proteins on the diamond surface) or even individual nuclear spins of a single atom (13C nuclei in the diamond).

The Quantum Magnetometry Facility at Heriot-Watt University is a 'turn-key' magnetic sensing instrument, based on single NV centres in diamond, operating down to temperatures very close to absolute zero. This facility will enable scientists to prove novel physics in different systems, such as the rich interplay between superconductivity, ferromagnetism and antiferromagnetism in unconventional superconductors, magnetic ordering in atomically-thin 2D materials and heterostructures, etc. These investigations will be very important, for example, to develop new materials and new physical effects that may lead to next-generation &quot;beyond-silicon&quot; electronic devices. Long-term applications of our fundamental investigations could be, for example, Mott transistors, where the gate voltage would switch the device between insulator and metal states, with a much better efficiency than current devices. Or it could provide insights into the enigmatic room temperature superconductor, whose application potential is enormous.";grant;2022;;;;;;
grant_10;Engineering and Physical Sciences Research Council;;;;Towards a First Principles Theory for the Linear Magnetoresistance in the Strange Metal Phase of Cuprate Superconductors;"Cuprate superconductors are materials with the highest known critical temperatures at ambient pressure. Discovering a room-temperature superconductor would be a major breakthrough with wide-reaching applications in energy transport, medical imaging, and data storage. The theoretical approach is to understand why cuprates are so effective, and to use that knowledge to push the superconducting temperature even higher. A key area of focus is the strange metal phase of cuprates, which shows unusual properties such as linear resistivity with temperature and linear magnetoresistance. These behaviors suggest the electrons in cuprates do not act like those in standard Fermi liquids, but rather form a new quantum state of matter. The linear resistivity spans a broad range of scales, implying the system may be scale-invariant leading researchers to draw on concepts from holography and quantum chaos.

We will approach the question with two main methods. First, we aim to use holographic principles to understand electron transport in strange metals. There are two distinct methods to approach the problem: hydrodynamic transport, which treats electrons collectively as a fluid, and Boltzmann transport, which considers them as individual, ballistic particles. Though seemingly distinct, we will explore the connections between them by comparing their physical predictions. Second, we plan to use a random resistor network model inspired by Parish and Littlewood. This method discretises the material into a mesh of resistors representing metal-ion clusters and voids. Though previously used to explain linear resistivity in non-cuprate systems, we will extend it by incorporating aperiodic geometries. Our goal is to gain deeper insight into the mechanisms behind strange metal behavior and ultimately contribute to the search for higher-temperature superconductors.";grant;2024;;;;;;
